operateur,region,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
ORANGE,DLB,10.706201,-12.243082,INTERNET,2026-01-16T08:09:00.000Z,-38.1,-54.1,-13,3.6,,,49.9,3.3,,,26,9.3,56.7,80.1,108.8,48,2.04,1.98,Drive Test Dalaba 2026-Q1
ORANGE,DLB,10.74287,-12.241735,MOBILE,2026-02-03T21:30:00.000Z,-86.1,-103.3,-19.9,-10,0,0,473.2,92.2,25.8,79.1,0.3,0,592.5,423.3,406.1,10,26.91,22.06,Drive Test Dalaba 2026-Q1
ORANGE,MMU,10.702157,-12.259187,MOBILE,2026-01-28T07:54:00.000Z,-59.2,-76.8,-14.3,9.9,27.9,11.7,49.3,4.9,85.9,17.4,,,,,,76,2.31,0.22,Drive Test Mamou 2026-Q1
ORANGE,MMU,10.483781,-12.336826,INTERNET,2026-02-20T07:06:00.000Z,-50.8,-54.3,-9.2,7,,,44.2,14.5,,,36.4,15.7,52.8,36.3,154.1,60,4.34,1.74,Drive Test Mamou 2026-Q1
ORANGE,MMU,10.542875,-12.124325,MOBILE,2026-03-04T08:29:00.000Z,-79.2,-99.4,-17.2,-8.2,0,0,123.3,37.4,23.3,47.6,0,0,279,328.8,402.2,14,52.81,22.85,Drive Test Mamou 2026-Q1
ORANGE,MMU,10.768886,-12.147666,MOBILE,2026-01-02T20:07:00.000Z,-51.6,-67.5,-14.3,10.6,17,6.8,59,12.5,72.3,32.2,,,,,,51,2.23,0.58,Drive Test Mamou 2026-Q1
ORANGE,MMU,10.350748,-12.158638,MOBILE,2026-01-24T22:22:00.000Z,-57.8,-77.1,-8,2.5,30.2,9.5,54.2,5.8,79,19.8,,,,,,64,4.05,0.19,Drive Test Mamou 2026-Q1
ORANGE,FRN,9.870561,-10.669668,MOBILE,2026-01-22T14:01:00.000Z,-49.1,-67.1,-13.2,3.4,26,8.9,39.3,9.4,66.9,34.3,,,,,,65,2.38,0.03,Drive Test Faranah 2026-Q1
ORANGE,FRN,9.849278,-11.027714,MOBILE,2026-03-08T19:50:00.000Z,-54.7,-57,-12.8,8.2,28,10.4,58,8.2,64.6,34.1,,,,,,61,4.23,2.89,Drive Test Faranah 2026-Q1
ORANGE,FRN,10.088696,-10.307336,INTERNET,2026-03-10T13:29:00.000Z,-86.3,-102.7,-17.8,-1,0,0,145,76.4,8.3,65.9,0.1,0,459.8,241.7,674.6,7,44.29,20.59,Drive Test Faranah 2026-Q1
ORANGE,FRN,9.805366,-10.745962,MOBILE,2026-01-09T14:21:00.000Z,-56.3,-73.1,-12.1,5,18.2,9.4,45.7,4.9,69.8,27.7,,,,,,61,5.15,3.06,Drive Test Faranah 2026-Q1
ORANGE,FRN,10.025339,-10.729445,MOBILE,2026-03-05T14:25:00.000Z,-51.5,-70.8,-10.6,12.2,19.6,6.5,56.3,14.3,68.6,34.8,,,,,,63,2.04,2.21,Drive Test Faranah 2026-Q1
ORANGE,KDG,8.984179,-10.006336,INTERNET,2026-03-22T07:55:00.000Z,-59,-66.7,-11.4,8.2,,,58.7,4.4,,,28.4,15.3,50.2,65.6,75.5,63,5.63,3.97,Drive Test Kissidougou 2026-Q1
ORANGE,KDG,9.148311,-9.740577,INTERNET,2026-03-01T10:20:00.000Z,-40.8,-61,-12.4,0.8,,,61.9,10.9,,,35.2,12.1,47.2,76.4,116.4,63,1.69,1.47,Drive Test Kissidougou 2026-Q1
ORANGE,KDG,9.385899,-9.871521,MOBILE,2026-01-21T16:18:00.000Z,-39.2,-56.7,-8.5,6.1,23.8,10,53.3,7.4,49.9,46.9,,,,,,35,3.8,4.76,Drive Test Kissidougou 2026-Q1
ORANGE,KDG,9.30759,-9.883668,MOBILE,2026-01-07T09:13:00.000Z,-32.4,-55.8,-8.7,9.6,13.9,8.7,63.8,6.6,52.6,50.5,,,,,,35,8.8,4.47,Drive Test Kissidougou 2026-Q1
ORANGE,KDG,9.174853,-9.812249,MOBILE,2026-02-18T17:37:00.000Z,-73,-101.4,-18.9,-4,0,0,266.6,62.8,16.2,54.1,0.2,0,429.7,168,559.5,18,37.06,27.4,Drive Test Kissidougou 2026-Q1
ORANGE,KKA,10.36138,-9.048852,MOBILE,2026-03-04T20:08:00.000Z,-74.6,-94.2,-18.2,-0.1,0,0,528.5,78.7,14.7,71.4,0.2,0,304.3,217.3,644.3,17,46.2,23.36,Drive Test Kankan 2026-Q1
ORANGE,KKA,10.468476,-9.272009,MOBILE,2026-01-22T22:59:00.000Z,-86.7,-99.4,-17.9,-0.6,0,0,400.4,22.9,30.5,36.7,0.4,0,385.7,464.7,619.3,10,58.98,22.24,Drive Test Kankan 2026-Q1
ORANGE,KKA,10.358356,-9.28072,MOBILE,2026-03-28T08:18:00.000Z,-41.8,-61.1,-12,1.1,14.5,10.9,55.1,4.9,63,38.9,,,,,,53,4.14,2.02,Drive Test Kankan 2026-Q1
ORANGE,KKA,10.379864,-9.221064,MOBILE,2026-02-06T07:07:00.000Z,-81.9,-96.3,-18.9,-2.9,0,0,211.6,49.8,22.2,52.7,0.5,0,392,338.2,476.3,16,12.94,26.29,Drive Test Kankan 2026-Q1
ORANGE,KKA,10.221346,-9.167286,INTERNET,2026-02-21T11:13:00.000Z,-79.4,-98.5,-18,-5.7,0,0,554.7,73.8,32.5,69.7,0.4,0,291.5,126.2,243.9,6,17.17,18.72,Drive Test Kankan 2026-Q1
ORANGE,SGR,11.408508,-9.56651,MOBILE,2026-02-05T15:35:00.000Z,-49.5,-59.9,-13.8,9,27.4,6.2,44.2,3.9,67.1,29.7,,,,,,66,3.14,3.51,Drive Test Siguiri 2026-Q1
ORANGE,SGR,11.557923,-9.281705,INTERNET,2026-01-11T20:59:00.000Z,-75.7,-102.3,-15.3,-8,0,0,200.1,80.4,2,47.5,0.1,0,322,208.6,691.9,20,16.44,21.19,Drive Test Siguiri 2026-Q1
ORANGE,SGR,11.223511,-9.439969,INTERNET,2026-01-21T08:40:00.000Z,-40.7,-65.3,-10.5,14.3,,,53.3,2.3,,,23,10.1,58.9,39.2,141,45,7.84,2.91,Drive Test Siguiri 2026-Q1
ORANGE,SGR,11.247768,-9.110222,INTERNET,2026-02-27T12:28:00.000Z,-54.4,-74,-11.4,12.9,,,61,7.9,,,42.8,12.4,56.4,43.3,61.3,67,5.05,3.8,Drive Test Siguiri 2026-Q1
ORANGE,SGR,11.304594,-9.046008,MOBILE,2026-02-17T11:31:00.000Z,-48.8,-67.4,-11.9,14.1,21,11.2,43.3,6.4,72.9,28.9,,,,,,73,3,1.45,Drive Test Siguiri 2026-Q1
ORANGE,GKD,8.782061,-9.80923,MOBILE,2026-03-15T22:14:00.000Z,-38.2,-47,-12.7,9.5,15.9,10,52.9,6.1,56.2,45.9,,,,,,40,7.02,2.16,Drive Test Guéckédou 2026-Q1
ORANGE,GKD,8.404562,-10.047092,MOBILE,2026-01-16T11:31:00.000Z,-74.9,-100.9,-19.3,-3,0,0,374.2,85.3,13.2,51.9,0.6,0,133,425.2,339.2,16,21.53,12.07,Drive Test Guéckédou 2026-Q1
ORANGE,GKD,8.764467,-10.383701,MOBILE,2026-02-11T13:59:00.000Z,-37.1,-56.9,-7.6,1.9,12.6,8.8,64.2,4.3,56.5,42.4,,,,,,55,7.46,1.09,Drive Test Guéckédou 2026-Q1
ORANGE,GKD,8.655772,-10.481616,INTERNET,2026-03-13T08:19:00.000Z,-78.8,-102.4,-18.3,-6.3,0,0,342.4,82.6,24.5,75.1,0.9,0,589.2,468.6,745.9,15,18.32,23.15,Drive Test Guéckédou 2026-Q1
ORANGE,GKD,8.388138,-10.359951,MOBILE,2026-01-22T21:50:00.000Z,-53.5,-65.8,-13.8,13.7,22.6,12,61.3,6.9,68,30,,,,,,54,4.3,2.95,Drive Test Guéckédou 2026-Q1
ORANGE,BLA,8.737063,-8.486784,INTERNET,2026-03-18T19:50:00.000Z,-38,-57.4,-12.5,3.2,,,71.4,3,,,23.1,11,64.4,82.8,112,50,4.48,3.73,Drive Test Beyla 2026-Q1
ORANGE,BLA,8.549633,-8.067822,MOBILE,2026-03-04T08:23:00.000Z,-47.3,-64.5,-7.3,2.2,25.3,10.3,46.3,11.8,69.2,31,,,,,,64,4.02,3.83,Drive Test Beyla 2026-Q1
ORANGE,BLA,8.8268,-8.434892,MOBILE,2026-02-08T22:11:00.000Z,-55.8,-76.1,-8.5,6.1,30.4,10.2,40,8.9,76.1,29.1,,,,,,56,4.32,1.28,Drive Test Beyla 2026-Q1
ORANGE,BLA,8.844624,-8.166147,MOBILE,2026-03-14T21:18:00.000Z,-51.1,-61.2,-13.1,1,23.4,10.4,57.1,4.8,67.3,37,,,,,,47,2.57,0.83,Drive Test Beyla 2026-Q1
ORANGE,BLA,8.68562,-7.980659,MOBILE,2026-03-21T21:18:00.000Z,-50,-67.9,-11.5,14.7,25.6,9.9,45,14.5,72.8,24.7,,,,,,54,5.62,3.78,Drive Test Beyla 2026-Q1
ORANGE,ZKR,7.762973,-8.966226,MOBILE,2026-03-17T17:41:00.000Z,-52.8,-71.9,-13.6,3.7,28.2,7.2,47.6,14.4,75.3,25.4,,,,,,61,2.91,0.45,Drive Test N'Zérékoré 2026-Q1
ORANGE,ZKR,7.666729,-8.813648,MOBILE,2026-03-02T20:30:00.000Z,-86.3,-98.4,-15.2,-7.8,0,0,441.7,93.8,18.7,75.4,0.5,0,116.4,438.2,678.6,8,33.5,5.26,Drive Test N'Zérékoré 2026-Q1
ORANGE,ZKR,7.752673,-8.712225,INTERNET,2026-03-04T21:12:00.000Z,-49.3,-54.3,-12.5,13.5,,,41.7,2.3,,,25.3,14,44.1,62.2,64.5,52,5.32,3.08,Drive Test N'Zérékoré 2026-Q1
ORANGE,ZKR,7.742155,-9.073695,INTERNET,2026-03-18T15:39:00.000Z,-50.3,-69.4,-9.8,2.6,,,32.8,12.1,,,30.9,18.4,54.6,68.1,102.7,63,5.17,3.93,Drive Test N'Zérékoré 2026-Q1
ORANGE,ZKR,7.774044,-8.81997,MOBILE,2026-01-08T12:42:00.000Z,-73.5,-99.6,-19.3,-1,0,0,356,24.3,23.5,31,0.5,0,562.5,494.5,574.4,2,16.26,23.44,Drive Test N'Zérékoré 2026-Q1
