operateur,region,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
CELCOM,CYA,9.901035,-13.322538,MOBILE,2026-01-18T18:25:00.000Z,-82,-102.3,-14.9,5.1,19.1,5,63.8,9.3,81.5,16.7,,,,,,59,1.36,1.33,Drive Test Coyah 2026-Q1
CELCOM,KIN,10.082841,-12.863955,MOBILE,2026-01-15T22:29:00.000Z,-97.4,-121.7,-15.3,-6.3,0,0,571.4,94.9,12.8,72.8,0.6,0,213,128.7,510.4,5,56.82,25.08,Drive Test Kindia 2026-Q1
CELCOM,KIN,10.151587,-12.822672,MOBILE,2026-02-23T12:29:00.000Z,-95.7,-117.9,-15.2,-2.4,0,0,534.7,78,29.9,58.8,0.3,0,589.1,126.9,417.6,13,30.77,19.59,Drive Test Kindia 2026-Q1
CELCOM,KIN,9.966952,-12.831204,INTERNET,2026-01-08T08:11:00.000Z,-57.5,-61.7,-7.3,2.4,,,113,6.2,,,18.9,3.4,98.5,17.3,75,38,5.5,0.31,Drive Test Kindia 2026-Q1
CELCOM,KIN,10.109797,-12.8456,MOBILE,2026-03-19T16:27:00.000Z,-65.1,-69.9,-8.5,5.9,12.7,5.7,107.6,5.8,62.4,37.4,,,,,,30,6.95,4.18,Drive Test Kindia 2026-Q1
CELCOM,KIN,10.061968,-12.795897,MOBILE,2026-01-14T08:52:00.000Z,-83.9,-99.8,-8.5,4.7,12.5,5.6,87.8,6,82.2,22.5,,,,,,61,4.94,1.81,Drive Test Kindia 2026-Q1
CELCOM,BKE,11.307206,-14.09688,MOBILE,2026-02-25T19:43:00.000Z,-30.7,-44,-15,0.2,4.9,1,219,13.5,30.1,71.1,,,,,,19,10.46,5.89,Drive Test Boké 2026-Q1
CELCOM,BKE,11.188,-14.294083,MOBILE,2026-02-06T20:19:00.000Z,-96.4,-111.3,-19.8,-8.2,0,0,405.3,90.7,13.6,32.7,0.7,0,425.9,278.7,245.3,8,31.37,17.46,Drive Test Boké 2026-Q1
CELCOM,BKE,11.013682,-14.371019,MOBILE,2026-03-07T14:05:00.000Z,-31.4,-49,-7.9,2.9,10.5,6.6,172.3,4.9,33.6,69.1,,,,,,21,10.99,4.85,Drive Test Boké 2026-Q1
CELCOM,BKE,11.162196,-14.244231,INTERNET,2026-01-08T22:16:00.000Z,-88.3,-117.2,-15.2,-2.4,0,0,393.9,48.1,37.7,74.5,0.6,0,593.9,393.1,778.8,20,47.54,8.23,Drive Test Boké 2026-Q1
CELCOM,BKE,11.229751,-14.245653,MOBILE,2026-02-15T18:22:00.000Z,-31.7,-44,-11.7,1,13.1,0.4,174.5,7.5,31.4,71.7,,,,,,28,12.88,7.39,Drive Test Boké 2026-Q1
CELCOM,KDR,12.469657,-13.401066,INTERNET,2026-02-03T14:27:00.000Z,-30,-44,-13.2,7.3,,,230.2,13.2,,,6.3,1.2,220.4,163.7,158.2,16,4.44,5.88,Drive Test Koundara 2026-Q1
CELCOM,KDR,12.37684,-12.92898,MOBILE,2026-03-16T11:10:00.000Z,-99.9,-113.5,-18.5,-7.1,0,0,441.7,39.3,34.7,52.8,0.7,0,516.8,437.9,234,13,12.42,24.25,Drive Test Koundara 2026-Q1
CELCOM,KDR,12.362632,-13.111905,MOBILE,2026-01-15T07:29:00.000Z,-100.8,-114,-18.9,-7.5,0,0,327.7,52.5,21.8,36.3,0.7,0,400.7,497.6,714.6,6,37.13,7.47,Drive Test Koundara 2026-Q1
CELCOM,KDR,12.388869,-13.246042,MOBILE,2026-01-04T19:36:00.000Z,-89,-109.6,-15.9,-7.1,0,0,315.4,51.3,28.1,30.5,0.4,0,547.5,466.3,348.3,10,59.1,29.28,Drive Test Koundara 2026-Q1
CELCOM,KDR,12.364846,-13.373461,MOBILE,2026-01-27T20:42:00.000Z,-35.5,-44,-14.4,10.4,13.3,6,194.4,6.1,29.7,66.8,,,,,,28,14.14,7.6,Drive Test Koundara 2026-Q1
CELCOM,LBE,11.287465,-12.238355,INTERNET,2026-01-13T07:53:00.000Z,-63.5,-75.5,-7.9,2.4,,,94.7,10.1,,,27.3,7.4,89.3,35.1,81.2,36,2.67,2.01,Drive Test Labé 2026-Q1
CELCOM,LBE,11.304746,-12.108352,MOBILE,2026-02-03T16:55:00.000Z,-91.6,-110.6,-15,-2,0,0,350,26.4,5.6,71.7,0.6,0,481.3,400.5,202.3,10,32.5,18.8,Drive Test Labé 2026-Q1
CELCOM,LBE,11.167427,-12.416609,MOBILE,2026-02-07T21:07:00.000Z,-90.8,-120.2,-18.1,-0.6,0,0,248.2,54.4,24.6,60.4,0.7,0,228.6,186.7,309.7,19,39.62,19.92,Drive Test Labé 2026-Q1
CELCOM,LBE,11.370762,-12.14995,MOBILE,2026-02-19T10:16:00.000Z,-100.2,-110.1,-17,-9.6,0,0,348.5,99,31.5,60.8,0.6,0,229.7,438.3,499.6,11,53.5,26.43,Drive Test Labé 2026-Q1
CELCOM,LBE,11.276079,-12.32123,INTERNET,2026-02-14T16:58:00.000Z,-67.7,-85.9,-7,3.8,,,84.4,3.8,,,11.3,3.7,84.7,16.7,152.8,53,6.12,2.84,Drive Test Labé 2026-Q1
CELCOM,MLI,11.929017,-12.197155,INTERNET,2026-03-03T10:45:00.000Z,-95.1,-118.8,-18.1,-3.1,0,0,322.8,20.5,9.8,48.6,0.2,0,606.3,134.1,590,3,34.37,22.14,Drive Test Mali 2026-Q1
CELCOM,MLI,12.145442,-12.445997,MOBILE,2026-02-23T21:54:00.000Z,-40.2,-44,-11.9,2.2,0.6,3.6,167.8,12.2,37.1,65.1,,,,,,26,2.73,3.16,Drive Test Mali 2026-Q1
CELCOM,MLI,11.736625,-11.966753,MOBILE,2026-02-22T18:11:00.000Z,-92.1,-113.9,-15.2,-6.9,0,0,242.8,39,7,40.4,0.1,0,520.7,324.3,733.6,10,50.41,13.41,Drive Test Mali 2026-Q1
CELCOM,MLI,11.95091,-11.842178,INTERNET,2026-02-16T17:45:00.000Z,-89,-114.6,-19.8,-0.6,0,0,361.8,29.1,18.3,43.9,0.3,0,660.6,212.6,382,4,39.21,10.23,Drive Test Mali 2026-Q1
CELCOM,MLI,12.030727,-12.465031,MOBILE,2026-01-19T17:31:00.000Z,-92.9,-119,-15.7,-9.4,0,0,675.2,64,31.4,32.1,0.9,0,319.8,146.4,585.1,5,51.08,29.31,Drive Test Mali 2026-Q1
CELCOM,DLB,11.096798,-12.324546,INTERNET,2026-03-07T21:15:00.000Z,-30,-44,-14.4,4.6,,,205,11.8,,,8,1.5,200.3,130.3,133.6,10,7.97,7.1,Drive Test Dalaba 2026-Q1
CELCOM,DLB,10.530223,-12.312252,INTERNET,2026-01-15T17:28:00.000Z,-87.8,-118.4,-15,-10,0,0,380,21.2,8.1,35.4,0.2,0,499,203.3,470,10,38.1,13.91,Drive Test Dalaba 2026-Q1
CELCOM,DLB,10.314681,-12.249398,MOBILE,2026-01-12T08:09:00.000Z,-90.6,-111.8,-18.2,-1.5,0,0,350.5,71.7,17.6,45.6,0.7,0,465.7,281,449.7,19,49.4,7.95,Drive Test Dalaba 2026-Q1
CELCOM,DLB,11.123807,-12.209175,INTERNET,2026-01-12T10:49:00.000Z,-96.3,-121.4,-19.1,-0.2,0,0,451.6,79.6,12,51,0.9,0,374.5,415.7,783.1,3,35.29,14.74,Drive Test Dalaba 2026-Q1
CELCOM,DLB,10.304682,-12.182131,INTERNET,2026-03-21T10:43:00.000Z,-99.8,-117.8,-17.8,-8.8,0,0,304.4,51.7,11.8,72.3,0,0,432.4,455.5,274,18,32.45,12.94,Drive Test Dalaba 2026-Q1
CELCOM,MMU,10.553159,-12.091939,INTERNET,2026-03-08T21:45:00.000Z,-49.1,-68.8,-7,13.6,,,102.9,4.3,,,15.9,3.6,96.3,68.7,109.6,44,2.09,2.38,Drive Test Mamou 2026-Q1
CELCOM,MMU,10.562195,-12.062345,MOBILE,2026-01-17T14:27:00.000Z,-89.2,-116.9,-15.1,-6.3,0,0,557.9,85.4,10.1,65.8,0.5,0,380.9,141.2,624.9,3,36.86,10.58,Drive Test Mamou 2026-Q1
CELCOM,MMU,10.417339,-12.234129,INTERNET,2026-01-09T11:01:00.000Z,-87.5,-107.3,-16.9,-6.9,0,0,606,23.6,7.6,57.2,0.7,0,330.5,138.8,490.2,9,26.52,16.34,Drive Test Mamou 2026-Q1
CELCOM,MMU,10.725996,-11.981277,MOBILE,2026-01-14T17:36:00.000Z,-93.2,-110.2,-17.9,-7.9,0,0,510.7,44.2,22.6,38.5,0.9,0,581.4,131.5,379.2,3,46.85,12.23,Drive Test Mamou 2026-Q1
CELCOM,MMU,10.272695,-12.130708,INTERNET,2026-03-16T22:56:00.000Z,-67.2,-81,-10.9,4.1,,,85.4,4.2,,,15.5,3.7,86.2,44.7,55.2,52,4.56,1.78,Drive Test Mamou 2026-Q1
CELCOM,FRN,10.039785,-10.735078,MOBILE,2026-01-05T16:39:00.000Z,-35,-44,-10.3,-1.4,9.1,1.2,196.5,14.7,30,69.8,,,,,,23,11.44,0.92,Drive Test Faranah 2026-Q1
CELCOM,FRN,9.998319,-10.650023,INTERNET,2026-02-10T19:21:00.000Z,-31,-44.6,-9.7,11.1,,,183.4,9.7,,,17.6,3.4,168.6,39.8,305.8,13,6.12,1.18,Drive Test Faranah 2026-Q1
CELCOM,FRN,10.079176,-10.953942,INTERNET,2026-03-23T10:50:00.000Z,-30,-44,-13.8,10.8,,,240.9,4.1,,,11.1,4.3,225.1,111.7,226.7,22,6.38,2.14,Drive Test Faranah 2026-Q1
CELCOM,FRN,10.136416,-10.790256,INTERNET,2026-02-05T19:10:00.000Z,-94.6,-120.8,-15.1,-3.4,0,0,614.6,83,34,37.6,0.4,0,475.3,419.7,484.1,7,14.68,10.38,Drive Test Faranah 2026-Q1
CELCOM,FRN,10.024337,-10.731984,MOBILE,2026-02-21T12:16:00.000Z,-91.7,-107.5,-15.6,-3,0,0,218.2,61.5,9.6,48.1,0.1,0,637.3,206.8,775.4,7,21.18,18.02,Drive Test Faranah 2026-Q1
CELCOM,KDG,9.587003,-10.23048,INTERNET,2026-02-27T18:47:00.000Z,-90.9,-121.1,-17.6,-7,0,0,345.8,27.1,21.1,77.2,0.1,0,487,447.2,406.5,14,18.85,15.88,Drive Test Kissidougou 2026-Q1
CELCOM,KDG,9.300697,-10.131754,MOBILE,2026-01-06T07:01:00.000Z,-94.8,-120.5,-19,-9.2,0,0,647.7,31,12.3,68.4,0.6,0,419.7,317.1,728.6,11,33.61,26.73,Drive Test Kissidougou 2026-Q1
CELCOM,KDG,9.067656,-10.3465,MOBILE,2026-01-03T20:51:00.000Z,-31.1,-44,-11.3,3.2,2.6,3.9,182,4.2,31.9,73.2,,,,,,17,12.57,3.56,Drive Test Kissidougou 2026-Q1
CELCOM,KDG,9.020585,-10.290744,INTERNET,2026-01-11T08:34:00.000Z,-101.9,-109.2,-15.4,-5.2,0,0,387.3,28,39.9,44.9,0.4,0,213.8,318.7,443.2,14,42.7,17.5,Drive Test Kissidougou 2026-Q1
CELCOM,KDG,9.346094,-10.213365,MOBILE,2026-03-10T22:46:00.000Z,-95.6,-116.3,-16.7,-1.7,0,0,303.4,46.1,8.3,32.7,0.3,0,258.5,112.8,353.4,12,56.05,29.16,Drive Test Kissidougou 2026-Q1
CELCOM,KKA,10.357581,-9.439822,MOBILE,2026-03-26T22:30:00.000Z,-63.1,-73.3,-7.8,13.1,15.9,2.6,113.3,6.6,59.7,42,,,,,,35,6.51,2.05,Drive Test Kankan 2026-Q1
CELCOM,KKA,10.204599,-9.498515,INTERNET,2026-01-10T09:50:00.000Z,-88,-107,-17.6,-4.6,0,0,348.9,56.6,28.9,51.9,0.8,0,629.6,394.9,792.8,16,26.53,8.7,Drive Test Kankan 2026-Q1
CELCOM,KKA,10.340167,-9.429393,INTERNET,2026-02-26T08:27:00.000Z,-53.2,-77.5,-13.5,10.2,,,102.3,9.3,,,20.7,6.7,108.4,58.3,115.6,39,4.78,0.86,Drive Test Kankan 2026-Q1
CELCOM,KKA,10.336453,-9.360909,INTERNET,2026-01-04T10:35:00.000Z,-71.6,-85.3,-10.4,16.6,,,80.2,13,,,12.2,7.2,84.5,49.9,125.6,53,4.35,3.08,Drive Test Kankan 2026-Q1
CELCOM,KKA,10.274965,-9.492679,INTERNET,2026-03-23T21:24:00.000Z,-68.4,-82,-10.6,14.8,,,111,2,,,19.3,9,91.9,63.6,80.9,33,1.53,0.56,Drive Test Kankan 2026-Q1
CELCOM,SGR,11.420423,-9.197866,MOBILE,2026-01-04T15:46:00.000Z,-97.3,-108.8,-19.8,-3.4,0,0,369.7,94.2,11.7,68.7,0.3,0,594,357.1,690.9,2,49.64,21.04,Drive Test Siguiri 2026-Q1
CELCOM,SGR,11.309872,-8.955676,INTERNET,2026-02-23T14:34:00.000Z,-99.2,-110.5,-18.6,-0.3,0,0,247.8,72.9,37,77.1,0.4,0,224.5,232.2,771.8,17,59.91,11.35,Drive Test Siguiri 2026-Q1
CELCOM,SGR,11.43911,-8.978355,MOBILE,2026-01-12T19:19:00.000Z,-102,-116.4,-18.8,-6.6,0,0,589.1,60,37.7,71.9,0.8,0,413.7,248,257,9,13.45,16.69,Drive Test Siguiri 2026-Q1
CELCOM,SGR,11.376024,-9.176808,MOBILE,2026-03-19T21:52:00.000Z,-91.2,-120.9,-17,-0.2,0,0,569.6,29.3,26.8,59.3,0.4,0,614.6,324,636.8,19,34.23,23.1,Drive Test Siguiri 2026-Q1
CELCOM,SGR,11.735103,-9.439727,MOBILE,2026-02-13T13:43:00.000Z,-87.5,-121.2,-17.7,-2.8,0,0,572,99.3,32.7,43.3,0.2,0,554.5,461.1,519.9,20,28.73,18.11,Drive Test Siguiri 2026-Q1
CELCOM,GKD,8.69181,-10.42768,MOBILE,2026-03-14T14:10:00.000Z,-42.6,-48.2,-8.9,3.9,0.3,2.8,175.8,2.9,37.6,68.7,,,,,,29,6.74,0,Drive Test Guéckédou 2026-Q1
CELCOM,GKD,8.531639,-10.179559,MOBILE,2026-02-13T15:29:00.000Z,-88.3,-108.5,-16.5,-7.5,0,0,642.5,65.2,35,40.7,0.7,0,199.4,384.7,547.4,3,48.57,13.4,Drive Test Guéckédou 2026-Q1
CELCOM,GKD,8.72024,-10.305046,INTERNET,2026-03-21T18:35:00.000Z,-96.1,-113,-20,-0.5,0,0,590.1,26.3,22.4,31.1,0.9,0,491.5,131.8,454.8,9,30.12,10.69,Drive Test Guéckédou 2026-Q1
CELCOM,GKD,8.671424,-10.153992,INTERNET,2026-02-18T21:07:00.000Z,-101.9,-112,-17.1,-8.7,0,0,646,63.5,27.9,43.7,0.7,0,240.7,438.5,700.6,7,54.04,7.43,Drive Test Guéckédou 2026-Q1
CELCOM,GKD,8.689022,-9.8351,MOBILE,2026-03-10T09:34:00.000Z,-95.2,-113.8,-18,-3.7,0,0,621,83.7,18.3,35.7,0.7,0,534.1,433.5,796.5,10,44.78,23.98,Drive Test Guéckédou 2026-Q1
CELCOM,BLA,8.963938,-8.574384,MOBILE,2026-02-15T11:00:00.000Z,-95.1,-116.2,-17,-4,0,0,239.4,51.1,17.7,75.5,0.6,0,563.5,299.7,280.8,8,39.8,14.94,Drive Test Beyla 2026-Q1
CELCOM,BLA,9.156626,-8.593616,MOBILE,2026-03-10T10:14:00.000Z,-33.7,-44,-12.5,8.5,5.6,2.1,165,3.2,35.2,68.3,,,,,,22,13.13,2.1,Drive Test Beyla 2026-Q1
CELCOM,BLA,9.11186,-8.533091,MOBILE,2026-01-02T07:14:00.000Z,-30,-49.6,-11.8,8.8,3.1,3.8,177.2,3.9,35.5,63.1,,,,,,15,8.43,1.68,Drive Test Beyla 2026-Q1
CELCOM,BLA,8.592166,-8.299274,MOBILE,2026-03-02T17:08:00.000Z,-91.2,-119.2,-19.1,-1.8,0,0,505.2,37.2,18.9,36.1,0.9,0,243.6,212.7,236.9,12,19.99,11.41,Drive Test Beyla 2026-Q1
CELCOM,BLA,8.81946,-8.510662,MOBILE,2026-01-11T16:28:00.000Z,-94.6,-115.8,-17.9,-1.8,0,0,643.1,57.6,13.1,36.7,0.3,0,369.9,198.7,296.9,13,47.73,25.58,Drive Test Beyla 2026-Q1
CELCOM,ZKR,7.860191,-8.664469,INTERNET,2026-03-09T17:09:00.000Z,-89.1,-115,-18.8,-3.8,0,0,237.5,94.8,16.2,46.2,1,0,527.1,363.1,728.7,11,11.16,17.27,Drive Test N'Zérékoré 2026-Q1
CELCOM,ZKR,7.796929,-8.729715,INTERNET,2026-03-07T16:37:00.000Z,-91.8,-118.6,-17.3,-3.1,0,0,249.7,39.5,6.4,42.3,0.2,0,312.4,311.1,490.4,10,36.14,7.47,Drive Test N'Zérékoré 2026-Q1
CELCOM,ZKR,7.597919,-8.944814,MOBILE,2026-03-13T06:12:00.000Z,-60.9,-82,-7,6.3,7.9,5.5,77.6,8,71.9,31.2,,,,,,55,1.75,2.88,Drive Test N'Zérékoré 2026-Q1
CELCOM,ZKR,7.589485,-8.880791,MOBILE,2026-01-05T06:57:00.000Z,-59.5,-69.7,-12.8,5.9,12.2,2.5,92.4,6.7,60.9,42.6,,,,,,31,4.08,0.76,Drive Test N'Zérékoré 2026-Q1
CELCOM,ZKR,7.713902,-8.837342,INTERNET,2026-02-22T21:12:00.000Z,-71,-98.1,-11.2,11.1,,,71.7,9.1,,,28.7,6.8,83,67.2,64.6,47,4.3,3.15,Drive Test N'Zérékoré 2026-Q1
